epoch,tput_uerr,protocol,tput_u,bandwidth,mcs_type,tput_d,avg_mcs,tx_bitrate,client_dl,pq_retried,ttl,rx_retries,avg_util_all,band,tput,tx_rate,client_tx_airtime,avg_util_rx_other_bss,rx_bytes,wirelink_dl_mbps,pq_dropped,upload,connect_time_sec,tput_theta1,tput_theta0,last_seen,sum_txpkts,wan_dl,download,rt,avg_util_rx_in_bss,tput_derr,roam_count,avg_util_tx,pq_airuse,rx_bps,rx_bitrate,pq_throughput,num_streams,pq_requested,avg_noise,tput_theta2,wirelink_up_mbps,pq_rtsfail,avg_rssi,os,error_rate,jitter,family,rx_rate,tput_airtime_rx,tx_bps,chanutil_intf,client_txrx_bw,free_bw,available_bw,tx_pkts,rssi,manufacture,rx_pkts,idle_time,dual_band,vlan_id,num_locating_aps,latency,uptime,proto,tx_retries,ping,tput_airtime_tx,tput_max,key_mgmt,channel,tx_power_max,avg_nclients,mcs_drops,avg_util_non_wifi,pq_max_used,tput_max_u,snr,tx_bytes,sum_active,avg_util_unknown_wifi,avg_snr,pq_length,tx_power,id
1512498954,47.5497107,ac,164.4266368,40,VHT,182.6962631,17,300,182.6962631,2448,273,1326,0.652018877,5,0,300,0,0.16649589,48504973,114.7587065,0,21.843,1911,5,246.4350623,1512498927,14485,114.7587065,138.775,1512498840,0.318828997,47.5497107,0,0.120519787,1904,1466702,216,709,2,19603,-91,-77.54721252,54.70196626,794,-60,Windows 10,0.011216944,2.111111111,,400,0.768443216,55597759,0.212670094,11,13.91924491,23.71348056,98673,-60,Hon Hai Precision Ind. Co.,38737,0,TRUE,1,1,1,40,ac,13518,5,0.768443216,237.7485535,WPA2-PSK/CCMP,149,16,1,0,0.001127128,47,237.7485535,32,256519553,1,0.045047076,31,576,15,441ca8e1f193
1512498992,44.3782235,ac,158.283614,40,VHT,175.8706822,17,300,175.8706822,1311,235,1326,0.314327854,5,14,300,0,0.15521516,48504973,116.5802716,0,24.187,60,5,246.4773541,1512498927,10941,116.5802716,143.093,1512498900,0.064827124,44.3782235,0,0.074951147,1382,1466702,400,14265,2,11775,-92,-70,55.57025061,199,-59,Windows 10,4.87E-04,0.666666667,,400,0.79259902,55597759,0.174549583,4,27.42688586,27.9969541,98673,-60,Hon Hai Precision Ind. Co.,38737,0,TRUE,1,1,3,40,ac,13518,4,0.79259902,221.8911175,WPA2-PSK/CCMP,44,8,9,0,2.45E-04,47,221.8911175,32,256519553,1,0.019089424,33,576,8,441ca8e1f193
1512407751,56.91076402,ac,197.2340563,40,VHT,219.1489514,15,180,219.1489514,6950,279,212401,0.456339422,5,20,180,0,0.154575743,1888893181,99.23512214,0,26.105,895,5,412.4120933,1512407730,8498,99.23512214,25.528,1512407700,0.008698656,56.91076402,0,0.248786569,306,251746,405,20298,3,8587,-91,-70,5.788715458,200,-66,Windows 10,0.01395812,2.333333333,,405,0.770149392,20682284,0.198854197,10,21.74642312,29.51254144,735068,-67,Hon Hai Precision Ind. Co.,759853,0,TRUE,1,,14,895,ac,523818,3,0.770149392,284.5538201,WPA2-PSK/CCMP,161,10,3,0,0.011066693,134,284.5538201,24,1359153675,1,0.033211761,25,576,10,441ca8e1f193
1512407789,60.97451345,ac,153.8460808,40,VHT,170.9400898,24,255,170.9400898,6596,242,212401,0.536671246,5,13,180,0,0.106759958,1888893181,72.79034524,0,30.972,931,5,408.6690881,1512407730,11133,72.79034524,19.319,1512407760,0.005229504,60.97451345,0,0.146745509,311,251746,24,13006,3,5887,-88,-70,4.246103472,170,-64,Windows 10,0.014356565,0.888888889,,405,0.559857354,20682284,0.384696232,5,18.53315016,22.0569641,735068,-67,Hon Hai Precision Ind. Co.,759853,0,TRUE,1,,10,895,ac,523818,4,0.559857354,304.8725672,WPA2-PSK/CCMP,161,10,3,0,0.253735736,63,304.8725672,24,1359153675,2,0.024200538,23,576,9,441ca8e1f193
1512408060,57.04982352,ac,201.1696415,40,VHT,223.5218239,18,241,223.5218239,7955,290,286688,0.381330209,5,8,300,0,0.164186325,2575582239,72.10674549,0,20.797,1171,5,390.1864036,1512408010,16133,72.10674549,40.307,1512408000,0.114026773,57.04982352,0,0.073783898,241,29940963,251,8822,3,7669,-87,-70,4.20622682,186,-65,Windows 10,0.017434767,198.4444444,,24,0.783600109,319605,0.193519538,5,24.74679163,27.50923243,922589,-73,Hon Hai Precision Ind. Co.,1010954,0,TRUE,1,,12,1153,ac,698520,4,0.783600109,285.2491176,WPA2-PSK/CCMP,161,10,4,0,0.002514157,119,285.2491176,16,1627950035,3,0.026819056,22,576,9,441ca8e1f193
1512409216,86.30107117,ac,265.2288911,40,VHT,294.6987679,19,360,294.6987679,3441,281,14188,0.337502025,5,16,450,0,0.139404432,69388394,43.07426553,0,8.403,241,5,502.8327115,1512409131,7248,43.07426553,22.118,1512409200,0.002558793,86.30107117,0,0.054377761,400,17264874,270,17019,3,7223,-86,-70,2.512665489,129,-61,Windows 10,0.006171552,4.666666667,,324,0.682955064,298843,0.280565472,2,26.499919,25.93466987,106757,-61,Hon Hai Precision Ind. Co.,45722,0,TRUE,1,1,11,176,ac,45452,4,0.682955064,431.5053559,WPA2-PSK/CCMP,153,10,5,0,0.041467666,63,431.5053559,14,283231432,1,0.099693374,25,576,10,441ca8e1f193
1512409254,87.2513651,ac,272.4686771,40,VHT,302.7429745,19,380,302.7429745,1838,277,24342,0.378419685,5,8,400,0,0.215088013,127920583,36.00645805,0,36.298,259,5,501.7624945,1512409231,8283,36.00645805,100.42,1512409200,0.001774964,87.2513651,0,0.032487067,280,515373,147,8541,3,4324,-83,-70,2.10037672,108,-59,Windows 10,0.006172272,5.555555556,,400,0.693837323,49087762,0.344157654,1,24.8632126,23.379508,171085,-62,Hon Hai Precision Ind. Co.,75471,0,TRUE,1,1,7,268,ac,66167,4,0.693837323,436.2568255,WPA2-PSK/CCMP,153,10,5,0,0.025969226,43,436.2568255,18,441846765,1,0.103100416,24,576,10,441ca8e1f193
1512499367,54.18827138,ac,195.8899907,40,VHT,217.6555452,18,324,217.6555452,13546,241,23968,0.794812186,5,129,324,0,0.083204938,539410649,114.7587065,0,20.271,417,5,275.9038209,1512499308,55239,114.7587065,143.095,1512499260,0.051917151,54.18827138,0,0.652279908,672,1882470,400,128511,2,55395,-92,-80,54.70196626,247,-60,Windows 10,6.37E-04,1.888888889,,400,0.80333083,129433080,0.090615127,27,8.20751258,31.91744341,1147372,-61,Hon Hai Precision Ind. Co.,444757,0,TRUE,1,1,7,417,ac,196263,6,0.80333083,270.9413569,WPA2-PSK/CCMP,44,8,9,0,2.72E-04,47,270.9413569,31,3019317992,1,0.007138121,32,576,8,441ca8e1f193
1512499404,54.92353631,ac,198.3914051,40,VHT,220.4348945,17,400,220.4348945,682,204,23968,0.336305154,5,0,324,0,0.111047442,539410649,111.281163,0,20.599,476,5,279.6474798,1512499308,10390,111.281163,143.771,1512499320,0.108990629,54.92353631,0,0.108153065,2386,1882470,400,494,2,12030,-92,-80,53.0443276,241,-60,Windows 10,6.39E-04,1.222222222,,400,0.802697384,129433080,0.11916146,6,26.54779383,29.70250007,1147372,-61,Hon Hai Precision Ind. Co.,444757,0,TRUE,1,1,0,417,ac,196263,5,0.802697384,274.6176815,WPA2-PSK/CCMP,44,8,9,0,2.06E-04,10,274.6176815,31,3019317992,1,0.007908044,32,576,8,441ca8e1f193
1512581124,79.00742802,ac,279.1013133,40,VHT,310.1125704,18,405,310.1125704,5388,287,253460,0.679227645,5,39,450,0,0.333690772,4562068822,56.68798479,0,61.12,1335,5,446.7591562,1512581112,35891,56.68798479,55.903,1512581100,0.024542638,79.00742802,0,0.29307839,568,15632775,486,38931,3,19243,-86,-72.62421878,52.68427157,111,-62,Windows 10,0.004455699,2,,486,0.784875739,22597110,0.361606618,12,12.83089421,22.51577047,2168157,-62,Hon Hai Precision Ind. Co.,1779563,0,TRUE,1,1,9,1335,ac,542824,4,0.784875739,395.0371401,WPA2-PSK/CCMP,36,10,4,0,0.001173282,280,395.0371401,26,4278348634,2,0.026742564,24,576,9,441ca8e1f193
